Year,SG,D_SG,IG,D_IG,ALL,D_ALL
1920,831,25,1843,8,2674,33
1921,1163,25,1833,7,2996,32
1922,1305,23,1972,10,3277,33
1923,1290,22,2068,5,3358,27
1924,1297,37,2175,3,3472,40
1925,1327,34,2174,7,3501,41
1926,943,18,1922,4,2865,22
1927,819,15,1355,1,2174,16
1928,912,8,1292,0,2204,8
1929,857,12,1244,3,2101,15
1930,953,21,1261,2,2214,23
1931,988,78,1221,6,2209,84
1932,983,108,1163,10,2146,118
1933,1198,189,1124,9,2322,198
1934,1019,60,891,5,1910,65
1935,817,51,709,9,1526,60
1936,701,19,647,3,1348,22
1937,657,18,622,4,1279,22
1938,656,17,579,9,1235,26
1939,735,13,492,2,1227,15
1940,620,22,353,2,973,24
1941,586,10,337,0,923,10
1942,546,4,333,0,879,4
1943,489,3,324,0,813,3
1944,452,3,321,0,773,3
1945,356,2,300,0,656,2
1946,356,0,300,0,656,0
1947,315,2,320,0,635,2
1948,315,0,320,0,635,0
1949,261,5,338,0,599,5
1950,261,0,338,0,599,0
1951,231,1,337,0,568,1
1952,231,0,337,0,568,0
1953,231,0,337,0,568,0
1954,214,1,388,0,602,1
1955,193,1,409,0,602,1
1956,193,0,409,0,602,0
1957,223,1,476,0,699,1
1958,223,0,476,0,699,0
1959,223,0,476,0,699,0
1960,267,2,549,0,816,2
1961,280,3,567,0,847,3
1962,264,4,585,0,849,4
1963,260,3,592,0,852,3
1964,260,0,592,0,852,0
1965,260,0,592,0,852,0
1966,228,1,592,0,820,1
1967,228,0,592,0,820,0
1968,267,1,676,0,943,1
1969,267,0,676,0,943,0
1970,288,25,738,2,1026,27
1971,260,3,789,0,1049,3
1972,260,5,844,0,1104,5
1973,234,3,862,2,1096,5
1974,225,3,866,0,1091,3
1975,230,4,878,0,1108,4
1976,230,2,906,0,1136,2
1977,221,3,909,1,1130,4
1978,219,4,911,0,1130,4
1979,230,1,906,0,1136,1
1980,245,4,918,0,1163,4
1981,287,2,948,0,1235,2
1982,310,11,939,2,1249,13
1983,320,14,1123,0,1443,14
1984,351,11,1143,2,1494,13
1985,424,16,1257,0,1681,16
1986,535,33,1432,3,1967,36
1987,720,31,1458,0,2178,31
1988,856,32,1513,0,2369,32
1989,846,50,1581,4,2427,54
1990,844,88,1676,1,2520,89
1991,748,68,1716,1,2464,69
1992,669,33,1801,0,2470,33
1993,676,23,1885,0,2561,23
1994,812,19,2107,0,2919,19
1995,947,29,2282,0,3229,29
1996,1092,18,2465,0,3557,18
1997,1324,25,2741,0,4065,25
1998,1689,50,2905,1,4594,51
1999,1999,106,3105,1,5104,107
2000,2043,124,3181,4,5224,128
2001,1935,179,3245,4,5180,183
2002,1742,136,3308,12,5050,148
2003,1714,91,3237,0,4951,91
2004,1701,41,3257,0,4958,41
2005,1804,31,3336,2,5140,33
2006,1861,31,3393,0,5254,31
2007,2017,20,3459,0,5476,20
2008,2178,119,3393,21,5571,140
2009,2133,258,3315,14,5448,272
2010,2029,62,3187,3,5216,65
2011,2121,44,3194,6,5315,50
2012,2433,68,3109,1,5542,69
2013,2552,68,3130,3,5682,71
2014,2783,56,3173,2,5956,58
2015,2979,109,3257,0,6236,109
2016,3058,140,3308,0,6366,140
2017,3009,106,3207,0,6216,106
2018,3079,74,3283,0,6362,74
2019,3002,96,3400,2,6402,98
2020,2964,205,3452,2,6416,207
2021,2909,51,3470,0,6379,51
2022,3148,135,3529,17,6677,152
2023,2961,143,3496,4,6457,147
